"Category";"Crédit à l'habitat total";"Crédits à l'habitat renégociés";"Crédits à l'habitat hors renégociations"
"janv. 2009";4,2;;
"févr. 2009";4,8;;
"mars 2009";5,5;;
"avr. 2009";6;;
"mai 2009";6,5;;
"juin 2009";6,6;;
"juil. 2009";7,1;;
"août 2009";7,1;;
"sept. 2009";7,9;;
"oct. 2009";8,1;;
"nov. 2009";7,9;;
"déc. 2009";9,8;;
"janv. 2010";8,9;;
"févr. 2010";10;;
"mars 2010";10,1;;
"avr. 2010";10;;
"mai 2010";11,1;;
"juin 2010";11,5;;
"juil. 2010";12,3;;
"août 2010";12,3;;
"sept. 2010";12,6;;
"oct. 2010";12,4;2,2;10,1
"nov. 2010";15;4;11
"déc. 2010";18,4;7,1;11,3
"janv. 2011";16,2;6,9;9,4
"févr. 2011";14;4,9;9,2
"mars 2011";13,7;3,4;10,4
"avr. 2011";11,9;2,5;9,5
"mai 2011";12,4;2;10,5
"juin 2011";9,7;0,9;9
"juil. 2011";9;0,7;8,4
"août 2011";8,6;0,5;8,2
"sept. 2011";8,4;0,6;8
"oct. 2011";8,4;0,6;8
"nov. 2011";8,8;0,5;8,5
"déc. 2011";11,3;0,5;10,9
"janv. 2012";11,4;0,5;10,9
"févr. 2012";6,4;0,3;6,1
"mars 2012";7,1;0,4;6,7
"avr. 2012";6,6;0,3;6,3
"mai 2012";6,5;0,4;6,1
"juin 2012";7,3;0,4;6,9
"juil. 2012";7,2;0,4;6,9
"août 2012";7,2;0,5;6,7
"sept. 2012";7,1;0,6;6,6
"oct. 2012";7,5;0,6;7
"nov. 2012";7,2;0,6;6,6
"déc. 2012";8,2;0,8;7,4
"janv. 2013";9,5;0,9;8,5
"févr. 2013";8,8;1,7;7
"mars 2013";10,4;3,4;6,9
"avr. 2013";11,7;4,4;7,2
"mai 2013";11,9;4,3;7,5
"juin 2013";12,1;4,2;7,8
"juil. 2013";12,7;4,4;8,3
"août 2013";13,4;4,6;8,8
"sept. 2013";13,1;4,5;8,5
"oct. 2013";13,5;4,6;8,9
"nov. 2013";12;3,6;8,4
"déc. 2013";11,5;2,6;8,8
"janv. 2014";9,8;2;7,7
"févr. 2014";10,8;2;8,7
"mars 2014";8,7;1,4;7,2
"avr. 2014";8,9;1,4;7,5
"mai 2014";8,6;1,2;7,3
"juin 2014";8,9;1,2;7,7
"juil. 2014";9,2;1,1;8,1
"août 2014";9,7;1,6;8,1
"sept. 2014";9,4;2,1;7,3
"oct. 2014";7,8;1,9;6
"nov. 2014";10,2;1,2;9
"déc. 2014";10,9;2,7;8,2
"janv. 2015";13,2;4,5;8,6
"févr. 2015";14,7;6;8,7
"mars 2015";16,2;6,7;9,5
"avr. 2015";17,1;7,2;9,8
"mai 2015";17,2;7,9;9,3
"juin 2015";18,5;8,4;10,1
"juil. 2015";20;9,4;10,6
"août 2015";22,5;11,5;11
"sept. 2015";22,3;10,4;11,9
"oct. 2015";18,9;7,7;11,2
"nov. 2015";18,2;8,2;10
"déc. 2015";15,1;5,3;9,8
"janv. 2016";13,7;4,8;8,8
"févr. 2016";14,8;4,5;10,3
"mars 2016";14;4;10
"avr. 2016";15,2;4,6;10,6
"mai 2016";17,1;5,8;11,2
"juin 2016";19;7,2;11,8
"juil. 2016";20,6;9,1;11,5
"août 2016";23,9;11,9;11,9
"sept. 2016";25,9;13,5;12,5
"oct. 2016";26,9;14,6;12,3
"nov. 2016";30;17,7;12,3
"déc. 2016";31,4;17,3;14,1
"janv. 2017";38,5;23,8;14,7
"févr. 2017";33,7;20,2;13,5
"mars 2017";30,5;16;14,5
"avr. 2017";27,1;13,5;13,6
"mai 2017";24,1;10,2;13,9
"juin 2017";20,2;6,5;13,7
"juil. 2017";18,5;5;13,5
"août 2017";14,7;4,2;10,5
"sept. 2017";14,1;3,3;10,7
"oct. 2017";14,1;3,1;11
"nov. 2017";16,4;3,2;13,2
"déc. 2017";16,7;2,6;14,1
"janv. 2018";16,9;3;13,9
"févr. 2018";15,4;3,1;12,3
"mars 2018";16,3;3,1;13,2
"avr. 2018";16,3;3,2;13,2
"mai 2018";16;3;13
"juin 2018";16,9;2,6;14,3
"juil. 2018";17,7;2,8;14,9
"août 2018";17,3;2,7;14,6
"sept. 2018";17,1;2,5;14,5
"oct. 2018";18;2,9;15,1
"nov. 2018";17,6;3;14,6
"déc. 2018";17,9;2,6;15,3
"janv. 2019";18,2;3,3;14,9
"févr. 2019";18,2;3,3;14,9
"mars 2019";18,4;3,2;15,2
"avr. 2019";18,5;3,2;15,2
"mai 2019";17,6;3,1;14,5
"juin 2019";19,4;3,5;15,9
"juil. 2019";21,6;4,3;17,4
"août 2019";21,2;5,3;15,9
"sept. 2019";21,9;5,2;16,7
"oct. 2019";24,3;6,4;17,9
"nov. 2019";24,2;7;17,1
"déc. 2019";23,9;6,1;17,8
"janv. 2020";23,5;6,7;16,9
"févr. 2020";25,9;7,7;18,3
"mars 2020";19,8;5,5;14,3
"avr. 2020";19,7;8,1;11,6
"mai 2020";20,4;6;14,4
"juin 2020";17,2;4,2;13
"juil. 2020";16,9;3,4;13,5
"août 2020";19,5;2,9;16,6
"sept. 2020";21,9;3;18,9
"oct. 2020";23;3,1;20
"nov. 2020";22,2;3,5;18,7
"déc. 2020";20,3;2,8;17,5
"janv. 2021";18,9;3;15,9
"févr. 2021";19,2;3,2;16
"mars 2021";21,7;3,7;17,9
"avr. 2021";23,3;4;19,3
"mai 2021";25,8;4,9;20,9
"juin 2021";25,7;4,3;21,3
"juil. 2021";24,4;4;20,4
"août 2021";23,8;4,1;19,7
"sept. 2021";23,2;4,2;19,1
"oct. 2021";24,4;4,8;19,6
"nov. 2021";23,1;4,9;18,2
"déc. 2021";21,9;4;17,9
"janv. 2022";23,8;5;18,8
"févr. 2022";23,2;5,1;18,1
"mars 2022";24,8;5,1;19,7
"avr. 2022";25,6;5;20,6
"mai 2022";26,7;4,5;22,2
"juin 2022";22,4;3,4;19
"juil. 2022";21,5;2,9;18,6
"août 2022";20,9;2,1;18,8
"sept. 2022";18,5;2,2;16,3
"oct. 2022";18,3;2,3;16
"nov. 2022";18;2,2;15,8
"déc. 2022";15,8;1,9;13,9
"janv. 2023";15,8;2,2;13,5
"févr. 2023";14,6;2,3;12,4
"mars 2023";14,4;2,1;12,3
"avr. 2023";14,8;2,2;12,6
"mai 2023";14;1,9;12,1
