Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages 2021;Médiane du niveau de vie 2021
01001;L'Abergement-Clémenciat;341;25820
01002;L'Abergement-de-Varey;116;24480
01004;Ambérieu-en-Bugey;6933;21660
01005;Ambérieux-en-Dombes;795;24610
01006;Ambléon;56;24210
01007;Ambronay;1200;24860
01008;Ambutrix;332;26300
01009;Andert-et-Condon;149;24810
01010;Anglefort;483;24700
01011;Apremont;160;24530
01012;Aranc;152;24270
01013;Arandas;75;22180
01014;Arbent;1393;22410
01015;Arboys en Bugey;304;23800
01016;Arbigny;185;23080
01017;Argis;200;20790
01019;Armix;13;N/A - résultat non disponible
01021;Ars-sur-Formans;571;26430
01022;Artemare;581;22000
01023;Asnières-sur-Saône;34;N/A - résultat non disponible
01024;Attignat;1412;24460
01025;Bâgé-Dommartin;1617;24880
01026;Bâgé-le-Châtel;435;22860
01027;Balan;752;25770
01028;Baneins;247;25520
01029;Beaupont;267;21350
01030;Beauregard;381;24240
01031;Bellignat;1676;20550
01032;Béligneux;1244;23060
01033;Valserhône;7172;23780
01034;Belley;4335;21180
01035;Belleydoux;146;26160
01036;Valromey-sur-Séran;632;23820
01037;Bénonces;130;21770
01038;Bény;329;24250
01040;Béréziat;190;23440
01041;Bettant;334;25150
01042;Bey;124;25520
01043;Beynost;1970;28730
01044;Billiat;270;28550
01045;Birieux;104;28180
01046;Biziat;357;24260
01047;Blyes;490;27110
01049;La Boisse;1289;26780
01050;Boissey;140;23180
01051;Bolozon;44;N/A - résultat non disponible
01052;Bouligneux;138;27630
01053;Bourg-en-Bresse;20804;20210
01054;Bourg-Saint-Christophe;582;27320
01056;Boyeux-Saint-Jérôme;154;21640
01057;Boz;209;24300
01058;Brégnier-Cordon;345;23420
01060;Brénod;251;24970
01061;Brens;469;25110
01062;Bressolles;382;28710
01063;Brion;249;25400
01064;Briord;473;23440
01065;Buellas;792;26810
01066;La Burbanche;44;N/A - résultat non disponible
01067;Ceignes;108;25900
01068;Cerdon;331;21410
01069;Certines;670;25570
01071;Cessy;2235;42540
01072;Ceyzériat;1376;25320
01073;Ceyzérieu;458;25250
01074;Chalamont;1089;23720
01075;Chaleins;570;24890
01076;Chaley;76;21070
01077;Challes-la-Montagne;96;24620
01078;Challex;641;44460
01079;Champagne-en-Valromey;314;22770
01080;Champdor-Corcelles;291;23720
01081;Champfromier;349;27400
01082;Chanay;233;27880
01083;Chaneins;392;25580
01084;Chanoz-Châtenay;352;24050
01085;La Chapelle-du-Châtelard;155;26330
01087;Charix;123;27320
01088;Charnoz-sur-Ain;370;28140
01089;Château-Gaillard;878;25170
01090;Châtenay;155;24090
01092;Châtillon-la-Palud;657;25470
01093;Châtillon-sur-Chalaronne;2391;23430
01094;Chavannes-sur-Reyssouze;329;23460
01095;Nivigne et Suran;364;23260
01096;Chaveyriat;412;23940
01098;Chazey-Bons;485;22520
01099;Chazey-sur-Ain;710;26780
01100;Cheignieu-la-Balme;74;21090
01101;Chevillard;68;26800
01102;Chevroux;388;23750
01103;Chevry;899;44010
01104;Chézery-Forens;200;25230
01105;Civrieux;735;28920
01106;Cize;80;23440
01107;Cleyzieu;69;22370
01108;Coligny;557;23750
01109;Collonges;924;33820
01110;Colomieu;74;20800
01111;Conand;59;21730
01112;Condamine;181;25520
01113;Condeissiat;345;23170
01114;Confort;241;30140
01115;Confrançon;576;24350
01116;Contrevoz;229;23210
01117;Conzieu;57;22900
01118;Corbonod;498;27120
01121;Corlier;48;24470
01123;Cormoranche-sur-Saône;466;25480
01124;Cormoz;321;23440
01125;Corveissiat;273;24010
01127;Courmangoux;228;24080
01128;Courtes;134;22520
01129;Crans;123;26820
01130;Bresse Vallons;938;24120
01133;Cressin-Rochefort;174;23660
01134;Crottet;760;24310
01135;Crozet;909;44040
01136;Cruzilles-lès-Mépillat;367;25850
01138;Culoz-Béon;1553;21730
01139;Curciat-Dongalon;208;19790
01140;Curtafond;310;26220
01141;Cuzieu;181;25670
01142;Dagneux;1876;25320
01143;Divonne-les-Bains;4550;46650
01145;Dompierre-sur-Veyle;509;24100
01146;Dompierre-sur-Chalaronne;164;24550
01147;Domsure;218;21490
01148;Dortan;843;23960
01149;Douvres;457;27910
01150;Drom;92;23580
01151;Druillat;506;24570
01152;Échallon;330;28070
01153;Échenevex;807;49930
01155;Évosges;71;23720
01156;Faramans;331;26730
01157;Fareins;996;27070
01158;Farges;440;37990
01159;Feillens;1480;24360
01160;Ferney-Voltaire;5189;27220
01162;Flaxieu;26;N/A - résultat non disponible
01163;Foissiat;871;23810
01165;Francheleins;599;26140
01166;Frans;1009;27060
01167;Garnerans;279;24530
01169;Genouilleux;256;25500
01170;Béard-Géovreissiat;393;24070
01171;Géovreisset;339;25370
01173;Gex;6024;35280
01174;Giron;78;26560
01175;Gorrevod;350;22580
01177;Grand-Corent;83;24680
01179;Grièges;860;24460
01180;Grilly;349;55340
01181;Groissiat;455;25220
01183;Guéreins;585;25240
01184;Hautecourt-Romanèche;346;24580
01185;Plateau d'Hauteville;2205;23080
01187;Haut Valromey;313;23000
01188;Illiat;250;24070
01189;Injoux-Génissiat;471;28040
01190;Innimond;44;N/A - résultat non disponible
01191;Izenave;75;24140
01192;Izernore;960;23500
01193;Izieu;104;23870
01194;Jassans-Riottier;2687;24030
01195;Jasseron;720;25630
01196;Jayat;501;23020
01197;Journans;179;25780
01198;Joyeux;101;25480
01199;Jujurieux;939;23050
01200;Labalme;90;23480
01202;Lagnieu;3344;23820
01203;Laiz;547;24820
01204;Le Poizat-Lalleyriat;300;25910
01206;Lantenay;117;24700
01207;Lapeyrouse;127;27830
01208;Lavours;66;22170
01209;Léaz;306;31670
01210;Lélex;115;24020
01211;Lent;640;24780
01212;Lescheroux;288;22570
01213;Leyment;548;24160
01214;Leyssard;76;26540
01215;Surjoux-Lhopital;65;23850
01216;Lhuis;371;24130
01219;Lompnas;77;22500
01224;Loyettes;1332;23420
01225;Lurcy;163;28430
01227;Magnieu;284;25450
01228;Maillat;274;26830
01229;Malafretaz;549;24580
01230;Mantenay-Montlin;142;21030
01231;Manziat;837;25260
01232;Marboz;1004;24540
01233;Marchamp;64;24140
01234;Marignieu;77;23750
01235;Marlieux;492;22870
01236;Marsonnas;423;24430
01237;Martignat;661;24590
01238;Massieux;1075;28590
01239;Massignieu-de-Rives;274;23900
01240;Matafelon-Granges;290;24660
01241;Meillonnas;598;26000
01242;Mérignat;61;20070
01243;Messimy-sur-Saône;516;27580
01244;Meximieux;3436;24890
01245;Bohas-Meyriat-Rignat;401;25140
01246;Mézériat;946;23740
01247;Mijoux;140;31560
01248;Mionnay;891;29130
01249;Miribel;4197;26720
